"GEO_ID","GEO_ID_F","NAME","SVY_COMP","SVY_COMP_LABEL","YEAR","AGG_DESC","AGG_DESC_LABEL","GOVTYPE","GOVTYPE_LABEL","AMOUNT","AMOUNT_FORMATTED"
"id","Geo Footnote","Geographic Area Name","Survey Component","Survey Component","Year","Aggregate Description","Meaning of Aggregate Description","Type of Government","Type of Government","Amount","Amount Formatted"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2014","CSITP","Elementary-secondary education school system current expenditures Instruction Total per pupil","001","State and Local ","5164.0","5164"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2015","CSITP","Elementary-secondary education school system current expenditures Instruction Total per pupil","001","State and Local ","5190.7","5191"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2016","CSITP","Elementary-secondary education school system current expenditures Instruction Total per pupil","001","State and Local ","5263.0","5263"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2017","CSITP","Elementary-secondary education school system current expenditures Instruction Total per pupil","001","State and Local ","5427.5","5427"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2018","CSITP","Elementary-secondary education school system current expenditures Instruction Total per pupil","001","State and Local ","5520.6","5521"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2012","CSP","Elementary-secondary education school system current expenditures Total per pupil","001","State and Local ","8562.1","8562"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2013","CSP","Elementary-secondary education school system current expenditures Total per pupil","001","State and Local ","8755.2","8755"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2014","CSP","Elementary-secondary education school system current expenditures Total per pupil","001","State and Local ","9027.7","9028"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2015","CSP","Elementary-secondary education school system current expenditures Total per pupil","001","State and Local ","9127.9","9128"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2016","CSP","Elementary-secondary education school system current expenditures Total per pupil","001","State and Local ","9242.7","9243"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2017","CSP","Elementary-secondary education school system current expenditures Total per pupil","001","State and Local ","9510.7","9511"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2018","CSP","Elementary-secondary education school system current expenditures Total per pupil","001","State and Local ","9696.2","9696"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2012","CSSGAP","Elementary-secondary education school system current expenditures Support Services General administration per pupil","001","State and Local ","194.4","194"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2013","CSSGAP","Elementary-secondary education school system current expenditures Support Services General administration per pupil","001","State and Local ","197.6","198"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2014","CSSGAP","Elementary-secondary education school system current expenditures Support Services General administration per pupil","001","State and Local ","235.5","235"
